StationCode,Reserve,ReserveCode,StationID,Temp Notes,Latitude,Longitude,StationType,Status,StationName,CDMO WQ Data URL,Realm,Province,Ecoregion,NERR_BioRegion,EPAIII_Code,EPAIII_Name,EPAIV_Code,EPAIV_Name,AquaticSystem,AquaticSubsystem,WaterColumn,SalinityRegime,Salinity Class,TempRegime,TidalRegime,ResidualCurrentType,TidalFlowType,PrimaryWaterSource,TectonicSetting,PhysiographicSetting,GeoformOrigin,Level1Geoform(>1km2),Level1GeoformType(>1km2),Level2Geoform(<1km2),Level2GeoformType(<1km2),SubstrateOrigin,SubstrateClass,SubstrateSubclass,PercentClay,PercentSilt,PercentSand,PercentGravel,PercentOrganics,BioticSetting,BioticClass,BioticSubclass,SecondaryBioticElement,TertiaryBioticElement,Dev_TotalArea,Ag_TotalArea,VegUplnd_TotalArea,WetlndPalust_TotalArea,WetlndEst_TotalArea,Bare_TotalArea,Water_TotalArea,Dev_pctTotal,Ag_pctTotal,VegUplnd_pctTotal,WetlndPalust_pctTotal,WetlndEst_pctTotal,Bare_pctTotal,Water_pctTotal,Dev_pctLand,Ag_pctLand,VegUplnd_pctLand,WetlndPalust_pctLand,WetlndEst_pctLand,Bare_pctLand,DominantLandCover,Imp_total_acres,Imp_pctLand,StationDescription
HUDSKWQ,Hudson River,HUD,SKWQ,,42.0171722,73.9149611,fixed near-bottom,primary,Saw Kill,https://cdmo.baruch.sc.edu/dges/?stationCode=HUDSKWQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,59,Northeastern Coastal Zone,59i,Hudson Valley,Riverine,Riverine 1st Order,Lower Water Column,Fresh Water,fresh,Moderate Water,Atidal,Well-mixed Domain,Atidal,River,Passive Continental Margin,Riverine Estuary,Geologic,,Freshwater Creek,,Damn,Geologic Substrate,Rock Substrate,Bedrock,,,,,,Benthic/Attached Biota,Upland,Forest,,,2615.3,4706.8,16827.5,2488.7,0.0,437.2,3264.4,8.62,15.51,55.46,8.20,0.00,1.44,10.76,9.66,17.38,62.15,9.19,0.00,1.61,vegetated uplands,864.28,3.19,"The Hudson River Saw Kill station is a fixed near-bottom water quality station (HUDSKWQ) in a  surrounded by Upland. The station is located within a Atidal, fresh Riverine Estuary in a watershed made up of primarily vegetated uplands."
HUDTNWQ,Hudson River,HUD,TNWQ,,42.0365457,73.925324,fixed near-bottom,primary,Tivoli North Bay,https://cdmo.baruch.sc.edu/dges/?stationCode=HUDTNWQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,59,Northeastern Coastal Zone,59i,Hudson Valley,Estuarine,Estuarine Tidal Riverine Coastal,Lower Water Column,Fresh Water,fresh,Moderate Water,Moderately Tidal,Well-mixed Domain,Semi-diurnal Tidal Flow,River,Passive Continental Margin,Riverine Estuary,Geologic,Inlet,Tidal Inlet,Channel,Tidal Channel/Creek,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,2615.3,4706.8,16827.5,2488.7,0.0,437.2,3264.4,8.62,15.51,55.46,8.20,0.00,1.44,10.76,9.66,17.38,62.15,9.19,0.00,1.61,vegetated uplands,864.28,3.19,"The Hudson River Tivoli North Bay station is a fixed near-bottom water quality station (HUDTNWQ) in a Channel surrounded by Emergent Wetland. The station is located within a Moderately Tidal, fresh Riverine Estuary in a watershed made up of primarily vegetated uplands."
HUDTSWQ,Hudson River,HUD,TSWQ,,42.0270378,73.9259569,fixed near-bottom,primary,Tivoli South Bay,https://cdmo.baruch.sc.edu/dges/?stationCode=HUDTSWQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,59,Northeastern Coastal Zone,59i,Hudson Valley,Estuarine,Estuarine Tidal Riverine Coastal,Lower Water Column,Fresh Water,fresh,Moderate Water,Moderately Tidal,Well-mixed Domain,Semi-diurnal Tidal Flow,River,Passive Continental Margin,Riverine Estuary,Geologic,Inlet,Tidal Inlet,Flat,Tidal Flat,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Aquatic Vegetation Bed,Submerged Aquatic Vascular Vegetation,,,2615.3,4706.8,16827.5,2488.7,0.0,437.2,3264.4,8.62,15.51,55.46,8.20,0.00,1.44,10.76,9.66,17.38,62.15,9.19,0.00,1.61,vegetated uplands,864.28,3.19,"The Hudson River Tivoli South Bay station is a fixed near-bottom water quality station (HUDTSWQ) in a Flat surrounded by Aquatic Vegetation Bed. The station is located within a Moderately Tidal, fresh Riverine Estuary in a watershed made up of primarily vegetated uplands."
JACB6WQ,Jacques Cousteau,JAC,B6WQ,,39.5079,74.3385,fixed near-bottom,primary,Buoy 126,https://cdmo.baruch.sc.edu/dges/?stationCode=JACB6WQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,84,Atlantic Coastal Pine Barrens,84c,Barrier Islands/Coastal Marshes,Estuarine,Estuarine Coastal,Lower Water Column,Upper Polyhaline Water,high salinity,Moderate Water,Moderately Tidal,Well-mixed Domain,Mixed Semi-diurnal Tidal Flow,Local Ocean Exchange,Passive Continental Margin,Riverine Estuary,Geologic,Inlet,Inlet,Tidal Inlet,Tidal Inlet,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,5899.1,7459.0,30288.7,27423.8,8592.1,381.1,6985.9,6.78,8.57,34.80,31.51,9.87,0.44,8.03,7.37,9.32,37.84,34.26,10.73,0.48,vegetated uplands,"1,891.63",2.36,"The Jacques Cousteau Buoy 126 station is a fixed near-bottom water quality station (JACB6WQ) in a Tidal Inlet surrounded by Emergent Wetland. The station is located within a Moderately Tidal, high salinity Riverine Estuary in a watershed made up of primarily vegetated uplands."
JACB9WQ,Jacques Cousteau,JAC,B9WQ,,39.4979417,74.3811306,fixed near-bottom,primary,Buoy 139,https://cdmo.baruch.sc.edu/dges/?stationCode=JACB9WQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,84,Atlantic Coastal Pine Barrens,84c,Barrier Islands/Coastal Marshes,Estuarine,Estuarine Coastal,Upper Water Column,Upper Polyhaline Water,high salinity,Moderate Water,Moderately Tidal,Well-mixed Domain,Mixed Semi-diurnal Tidal Flow,Local Ocean Exchange,Passive Continental Margin,Riverine Estuary,Geologic,Delta,Delta,Flood Tide Delta,Flood Tide Delta,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,5899.1,7459.0,30288.7,27423.8,8592.1,381.1,6985.9,6.78,8.57,34.80,31.51,9.87,0.44,8.03,7.37,9.32,37.84,34.26,10.73,0.48,vegetated uplands,"1,891.63",2.36,"The Jacques Cousteau Buoy 139 station is a fixed near-bottom water quality station (JACB9WQ) in a Flood Tide Delta surrounded by Emergent Wetland. The station is located within a Moderately Tidal, high salinity Riverine Estuary in a watershed made up of primarily vegetated uplands."
JACBAWQ,Jacques Cousteau,JAC,BAWQ,,39.5937,74.5515,fixed near-bottom,primary,Lower Bank,https://cdmo.baruch.sc.edu/dges/?stationCode=JACBAWQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,84,Atlantic Coastal Pine Barrens,84b,Pine Barrens,Estuarine,Estuarine Tidal Riverine Coastal,Upper Water Column,Mesohaline Water,brackish,Moderate Water,Minimally Tidal,Well-mixed Domain,Mixed Semi-diurnal Tidal Flow,Local Estuary Exchange,Passive Continental Margin,Riverine Estuary,Geologic,Channel,Channel,Tidal Channel/Creek,Tidal Channel/Creek,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,3312.7,6391.2,21113.5,19352.4,174.7,96.6,543.1,6.50,12.54,41.41,37.96,0.34,0.19,1.07,6.57,12.67,41.86,38.37,0.35,0.19,vegetated uplands,996.99,1.98,"The Jacques Cousteau Lower Bank station is a fixed near-bottom water quality station (JACBAWQ) in a Tidal Channel/Creek surrounded by Emergent Wetland. The station is located within a Minimally Tidal, brackish Riverine Estuary in a watershed made up of primarily vegetated uplands."
JACNEWQ,Jacques Cousteau,JAC,NEWQ,,39.5479,74.4608,fixed near-bottom,primary,Chestnut Neck,https://cdmo.baruch.sc.edu/dges/?stationCode=JACNEWQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,84,Atlantic Coastal Pine Barrens,84b,Pine Barrens,Estuarine,Estuarine Coastal,Upper Water Column,Lower Polyhaline Water,brackish,Moderate Water,Moderately Tidal,Well-mixed Domain,Mixed Semi-diurnal Tidal Flow,Local Estuary Exchange,Passive Continental Margin,Riverine Estuary,Geologic,Channel,Channel,Tidal Channel/Creek,Tidal Channel/Creek,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,5265.4,7450.8,29923.5,27082.6,4038.0,141.7,1777.7,6.96,9.85,39.54,35.79,5.34,0.19,2.35,7.12,10.08,40.49,36.65,5.46,0.19,vegetated uplands,"1,616.27",2.19,"The Jacques Cousteau Chestnut Neck station is a fixed near-bottom water quality station (JACNEWQ) in a Tidal Channel/Creek surrounded by Emergent Wetland. The station is located within a Moderately Tidal, brackish Riverine Estuary in a watershed made up of primarily vegetated uplands."
JOB09WQ,Jobos Bay,JOB,09WQ,,17.9430556,66.2385833,fixed near-bottom,primary,Station 9,https://cdmo.baruch.sc.edu/dges/?stationCode=JOB09WQ,Tropical Atlantic,Tropical Northwestern Atlantic,Greater Antilles,West Indian,,,,,Marine,Marine Nearshore,Upper Water Column,Euhaline Water,high salinity,Very Warm Water,Minimally Tidal,Well-mixed Domain,Diurnal Tidal Flow,Marine,Convergent Active Continental Margin,Lagoonal Estuary,Geologic,Fan,Alluvial Fan,Lagoon,,Biogenic Substrate,Organic Substrate,Organic Detritus,70,30,0,0,50,Benthic/Attached Biota,Scrub-Shrub Wetland,Mangrove Forest,Submerged Aquatic Vascular Vegetation,Aquatic Macroalgae,1943.7,2544.6,4691.1,189.0,631.8,224.9,346.9,18.39,24.07,44.37,1.79,5.98,2.13,3.28,19.01,24.89,45.88,1.85,6.18,2.20,vegetated uplands,717.55,7.02,"The Jobos Bay Station 9 station is a fixed near-bottom water quality station (JOB09WQ) in a Lagoon surrounded by Scrub-Shrub Wetland. The station is located within a Minimally Tidal, high salinity Lagoonal Estuary in a watershed made up of primarily vegetated uplands."
JOB10WQ,Jobos Bay,JOB,10WQ,,17.938611,66.257736,fixed near-bottom,primary,Station 10,https://cdmo.baruch.sc.edu/dges/?stationCode=JOB10WQ,Tropical Atlantic,Tropical Northwestern Atlantic,Greater Antilles,West Indian,,,,,Marine,Marine Nearshore,Lower Water Column,Euhaline Water,high salinity,Very Warm Water,Minimally Tidal,Reverse Estuarine Flow,Diurnal Tidal Flow,Marine,Convergent Active Continental Margin,Lagoonal Estuary,Geologic,Fan,Alluvial Fan,Lagoon,,Biogenic Substrate,Organic Substrate,Organic Detritus,60,30,10,0,50,Benthic/Attached Biota,Forested Wetland,Mangrove Forest,Submerged Aquatic Vascular Vegetation,Aquatic Macroalgae,1943.7,2544.6,4691.1,189.0,631.8,224.9,346.9,18.39,24.07,44.37,1.79,5.98,2.13,3.28,19.01,24.89,45.88,1.85,6.18,2.20,vegetated uplands,717.55,7.02,"The Jobos Bay Station 10 station is a fixed near-bottom water quality station (JOB10WQ) in a Lagoon surrounded by Forested Wetland. The station is located within a Minimally Tidal, high salinity Lagoonal Estuary in a watershed made up of primarily vegetated uplands."
JOB19WQ,Jobos Bay,JOB,19WQ,,17.942914,66.228825,fixed near-bottom,primary,Station 19,https://cdmo.baruch.sc.edu/dges/?stationCode=JOB19WQ,Tropical Atlantic,Tropical Northwestern Atlantic,Greater Antilles,West Indian,,,,,Marine,Marine Nearshore,Lower Water Column,Euhaline Water,high salinity,Very Warm Water,Minimally Tidal,Reverse Estuarine Flow,Diurnal Tidal Flow,Marine,Convergent Active Continental Margin,Lagoonal Estuary,Geologic,Fan,Alluvial Fan,Lagoon,,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,20,30,50,0,30,Benthic/Attached Biota,Aquatic Vegetation Bed,Submerged Aquatic Vascular Vegetation,Mangrove Forest,Aquatic Macroalgae,1943.7,2544.6,4691.1,189.0,631.8,224.9,346.9,18.39,24.07,44.37,1.79,5.98,2.13,3.28,19.01,24.89,45.88,1.85,6.18,2.20,vegetated uplands,717.55,7.02,"The Jobos Bay Station 19 station is a fixed near-bottom water quality station (JOB19WQ) in a Lagoon surrounded by Aquatic Vegetation Bed. The station is located within a Minimally Tidal, high salinity Lagoonal Estuary in a watershed made up of primarily vegetated uplands."
JOB20WQ,Jobos Bay,JOB,20WQ,,17.930317,66.211472,fixed near-bottom,primary,Station 20,https://cdmo.baruch.sc.edu/dges/?stationCode=JOB20WQ,Tropical Atlantic,Tropical Northwestern Atlantic,Greater Antilles,West Indian,,,,,Marine,Marine Nearshore,Lower Water Column,Euhaline Water,high salinity,Very Warm Water,Minimally Tidal,Well-mixed Domain,Diurnal Tidal Flow,Marine,Convergent Active Continental Margin,Barrier Reef,Geologic,Fan,Alluvial Fan,Lagoon,,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,20,30,50,0,30,Benthic/Attached Biota,Aquatic Vegetation Bed,Submerged Aquatic Vascular Vegetation,Mangrove Forest,Aquatic Macroalgae,1943.7,2544.6,4691.1,189.0,631.8,224.9,346.9,18.39,24.07,44.37,1.79,5.98,2.13,3.28,19.01,24.89,45.88,1.85,6.18,2.20,vegetated uplands,717.55,7.02,"The Jobos Bay Station 20 station is a fixed near-bottom water quality station (JOB20WQ) in a Lagoon surrounded by Aquatic Vegetation Bed. The station is located within a Minimally Tidal, high salinity Barrier Reef in a watershed made up of primarily vegetated uplands."
KACH3WQ,Kachemak Bay,KAC,H3WQ,,59.60205,151.40942,surface buoy,primary,Homer Surface 3,https://cdmo.baruch.sc.edu/dges/?stationCode=KACH3WQ,Temperate Northern Pacific,Cold Temperate Northeast Pacific,Gulf of Alaska,Fjord,120,Coastal Western Hemlock-Sitka Spruce Forests,,,Marine,Marine Nearshore,Upper Water Column,Upper Polyhaline Water,high salinity,Cold Water,Macrotidal,Salt Wedge Domain,Mixed Semi-diurnal Tidal Flow,Local Estuary Exchange,Convergent Active Continental Margin,Embayment/Bay,Geologic,Spit,,Slope,,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Open Water,Open Water,Open Water,,,1069.8,56.4,27792.8,2783.1,0.0,7075.2,8358.8,2.27,0.12,58.96,5.90,0.00,15.01,17.73,2.76,0.15,71.67,7.18,0.00,18.25,vegetated uplands,230.61,0.59,"The Kachemak Bay Homer Surface 3 station is a surface buoy water quality station (KACH3WQ) in a Slope surrounded by Open Water. The station is located within a Macrotidal, high salinity Embayment/Bay in a watershed made up of primarily vegetated uplands."
KACHDWQ,Kachemak Bay,KAC,HDWQ,,59.60201,151.40878,fixed near-bottom,primary,Homer Dolphin Deep,https://cdmo.baruch.sc.edu/dges/?stationCode=KACHDWQ,Temperate Northern Pacific,Cold Temperate Northeast Pacific,Gulf of Alaska,Fjord,120,Coastal Western Hemlock-Sitka Spruce Forests,,,Marine,Marine Nearshore,Lower Water Column,Euhaline Water,high salinity,Cold Water,Macrotidal,Salt Wedge Domain,Mixed Semi-diurnal Tidal Flow,Local Ocean Exchange,Convergent Active Continental Margin,Embayment/Bay,Geologic,Spit,,Slope,,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Open Water,Open Water,Open Water,,,1069.8,56.4,27792.8,2783.1,0.0,7075.2,8358.8,2.27,0.12,58.96,5.90,0.00,15.01,17.73,2.76,0.15,71.67,7.18,0.00,18.25,vegetated uplands,230.61,0.59,"The Kachemak Bay Homer Dolphin Deep station is a fixed near-bottom water quality station (KACHDWQ) in a Slope surrounded by Open Water. The station is located within a Macrotidal, high salinity Embayment/Bay in a watershed made up of primarily vegetated uplands."
KACSDWQ,Kachemak Bay,KAC,SDWQ,,59.44099,151.72096,fixed near-bottom,primary,Seldovia Deep,https://cdmo.baruch.sc.edu/dges/?stationCode=KACSDWQ,Temperate Northern Pacific,Cold Temperate Northeast Pacific,Gulf of Alaska,Fjord,120,Coastal Western Hemlock-Sitka Spruce Forests,,,Marine,Marine Nearshore,Lower Water Column,Euhaline Water,high salinity,Cold Water,Macrotidal,Salt Wedge Domain,Mixed Semi-diurnal Tidal Flow,Local Ocean Exchange,Convergent Active Continental Margin,Embayment/Bay,Geologic,Cove,Mainland Cove,Slope,,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Open Water,Open Water,Open Water,,,135.6,0.0,13324.3,6.2,0.0,364.9,2499.3,0.83,0.00,81.59,0.04,0.00,2.23,15.30,0.98,0.00,96.34,0.04,0.00,2.64,vegetated uplands,44.83,0.32,"The Kachemak Bay Seldovia Deep station is a fixed near-bottom water quality station (KACSDWQ) in a Slope surrounded by Open Water. The station is located within a Macrotidal, high salinity Embayment/Bay in a watershed made up of primarily vegetated uplands."
KACSSWQ,Kachemak Bay,KAC,SSWQ,,59.44099,151.72096,surface buoy,primary,Seldovia Surface,https://cdmo.baruch.sc.edu/dges/?stationCode=KACSSWQ,Temperate Northern Pacific,Cold Temperate Northeast Pacific,Gulf of Alaska,Fjord,120,Coastal Western Hemlock-Sitka Spruce Forests,,,Marine,Marine Nearshore,Upper Water Column,Euhaline Water,high salinity,Cold Water,Macrotidal,Salt Wedge Domain,Mixed Semi-diurnal Tidal Flow,Local Ocean Exchange,Convergent Active Continental Margin,Embayment/Bay,Geologic,Cove,Mainland Cove,Slope,,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Open Water,Open Water,Open Water,,,135.6,0.0,13324.3,6.2,0.0,364.9,2499.3,0.83,0.00,81.59,0.04,0.00,2.23,15.30,0.98,0.00,96.34,0.04,0.00,2.64,vegetated uplands,44.83,0.32,"The Kachemak Bay Seldovia Surface station is a surface buoy water quality station (KACSSWQ) in a Slope surrounded by Open Water. The station is located within a Macrotidal, high salinity Embayment/Bay in a watershed made up of primarily vegetated uplands."
LKSBAWQ,Lake Superior,LKS,BAWQ,,46.721772,92.06352,fixed near-bottom,primary,Barker's Island,https://cdmo.baruch.sc.edu/dges/?stationCode=LKSBAWQ,Temperate Great Lakes,Cold Temperate Great Lakes,Laurentian Great Lakes,Great Lakes,50,Northern Lakes and Forests,50a,Lake Superior Clay Plain,Lacustrine,Lacustrine Littoral,Fluvial/Riverine,Fresh Water,fresh,Cold,"Atidal, Seiche 10-20cm",Riverine/Lacustrine,"Atidal, Seiche",River,Great Lakes Seismic Zone,Lagoonal Estuary,Geologic,Lake,Embayment,Lagoon,,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Open Water,Open Water,Open Water,Submerged Aquatic Vascular Vegetation,,9250.0,4202.7,35144.1,23897.7,0.0,428.9,4610.1,11.93,5.42,45.33,30.82,0.00,0.55,5.95,12.68,5.76,48.19,32.77,0.00,0.59,vegetated uplands,"3,455.90",4.74,"The Lake Superior Barker's Island station is a fixed near-bottom water quality station (LKSBAWQ) in a Lagoon surrounded by Open Water. The station is located within a Atidal, Seiche 10-20cm, fresh Lagoonal Estuary in a watershed made up of primarily vegetated uplands."
LKSBLWQ,Lake Superior,LKS,BLWQ,,46.748649,92.10027,fixed surface,primary,Blatnik Bridge,https://cdmo.baruch.sc.edu/dges/?stationCode=LKSBLWQ,Temperate Great Lakes,Cold Temperate Great Lakes,Laurentian Great Lakes,Great Lakes,50,Northern Lakes and Forests,50a,Lake Superior Clay Plain,Lacustrine,Lacustrine Limnetic,Upper Water Column,Fresh Water,fresh,Very Cold,"Atidal, Seiche 10-20cm",Riverine/Lacustrine,"Atidal, Seiche",River,Great Lakes Seismic Zone,Lagoonal Estuary,Geologic,Lake,Embayment,Lagoon,,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Open Water,Open Water,Open Water,,,9250.0,4202.7,35144.1,23897.7,0.0,428.9,4610.1,11.93,5.42,45.33,30.82,0.00,0.55,5.95,12.68,5.76,48.19,32.77,0.00,0.59,vegetated uplands,"3,455.90",4.74,"The Lake Superior Blatnik Bridge station is a fixed surface water quality station (LKSBLWQ) in a Lagoon surrounded by Open Water. The station is located within a Atidal, Seiche 10-20cm, fresh Lagoonal Estuary in a watershed made up of primarily vegetated uplands."
LKSOLWQ,Lake Superior,LKS,OLWQ,,46.65685,92.20166,fixed surface,primary,Oliver Bridge,https://cdmo.baruch.sc.edu/dges/?stationCode=LKSOLWQ,Temperate Great Lakes,Cold Temperate Great Lakes,Laurentian Great Lakes,Great Lakes,50,Northern Lakes and Forests,50a,Lake Superior Clay Plain,Lacustrine,Riverine >3rd order,Fluvial/Riverine,Fresh Water,fresh,Cold,"Atidal, Seiche <10cm",Riverine/Lacustrine,"Atidal, Seiche",River,Great Lakes Seismic Zone,Lagoonal Estuary,Geologic,Channel,,Channel,,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Aquatic Vegetation Bed,Emergent Non-tidal Marsh,Upland Forest,Floating Aquatic Vascular Vegetation,3461.8,4105.4,29101.4,20075.3,0.0,235.6,1672.9,5.90,7.00,49.62,34.23,0.00,0.40,2.85,6.08,7.21,51.07,35.23,0.00,0.41,vegetated uplands,"1,185.44",2.08,"The Lake Superior Oliver Bridge station is a fixed surface water quality station (LKSOLWQ) in a Channel surrounded by Aquatic Vegetation Bed. The station is located within a Atidal, Seiche <10cm, fresh Lagoonal Estuary in a watershed made up of primarily vegetated uplands."
LKSPOWQ,Lake Superior,LKS,POWQ,,46.67236,92.135614,fixed near-bottom,primary,Pokegama Bay,https://cdmo.baruch.sc.edu/dges/?stationCode=LKSPOWQ,Temperate Great Lakes,Cold Temperate Great Lakes,Laurentian Great Lakes,Great Lakes,50,Northern Lakes and Forests,50a,Lake Superior Clay Plain,Riverine,Riverine >3rd order,Fluvial/Riverine,Fresh Water,fresh,Cold,"Atidal, Seiche <10cm",Riverine/Lacustrine,"Atidal, Seiche",River,Great Lakes Seismic Zone,Lagoonal Estuary,Geologic,Channel,,Riverine Fluvial System,> Third Order,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Aquatic Vegetation Bed,Emergent Non-tidal Marsh,Submerged Aquatic Vascular Vegetation,Upland Forest,3705.7,4516.5,31514.6,23337.9,0.0,249.3,1710.8,5.70,6.94,48.46,35.89,0.00,0.38,2.63,5.85,7.13,49.77,36.85,0.00,0.39,vegetated uplands,"1,276.80",2.02,"The Lake Superior Pokegama Bay station is a fixed near-bottom water quality station (LKSPOWQ) in a Riverine Fluvial System surrounded by Aquatic Vegetation Bed. The station is located within a Atidal, Seiche <10cm, fresh Lagoonal Estuary in a watershed made up of primarily vegetated uplands."
MARABWQ,Mission Aransas,MAR,ABWQ,,27.9798,97.0287,fixed near-bottom,primary,Aransas Bay,https://cdmo.baruch.sc.edu/dges/?stationCode=MARABWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Northern Gulf of Mexico,Louisianan,34,Western Gulf Coastal Plain,34h,Mid-Coast Barrier Islands and Coastal Marshes,Estuarine,Estuarine Coastal,Lower Water Column,Upper Polyhaline Water,high salinity,Warm Water,Microtidal,Well-mixed Domain ,Diurnal Tidal Flow ,Local Estuary Exchange,Passive Continental Margin,Lagoonal Estuary ,Geologic,Lagoon,,Lagoon,,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Open Water,Open Water,Open Water,,,3718.3,20291.0,21850.0,10310.3,9185.4,4124.7,28090.5,3.81,20.80,22.39,10.57,9.41,4.23,28.79,5.35,29.20,31.45,14.84,13.22,5.94,vegetated uplands,"1,430.98",2.06,"The Mission Aransas Aransas Bay station is a fixed near-bottom water quality station (MARABWQ) in a Lagoon surrounded by Open Water. The station is located within a Microtidal, high salinity Lagoonal Estuary  in a watershed made up of primarily vegetated uplands."
MARCEWQ,Mission Aransas,MAR,CEWQ,,28.1323,97.0344,fixed near-bottom,primary,Copano Bay East,https://cdmo.baruch.sc.edu/dges/?stationCode=MARCEWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Northern Gulf of Mexico,Louisianan,34,Western Gulf Coastal Plain,34h,Mid-Coast Barrier Islands and Coastal Marshes,Estuarine,Estuarine Coastal,Lower Water Column,Lower Polyhaline Water,brackish,Warm Water,Microtidal,Well-mixed Domain ,Diurnal Tidal Flow ,Local Estuary Exchange,Passive Continental Margin,Lagoonal Estuary ,Geologic,Lagoon,,Lagoon,,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Open Water,Open Water,Open Water,,,13232.4,204671.1,186411.3,22028.3,5700.3,2064.6,17718.1,2.93,45.30,41.26,4.88,1.26,0.46,3.92,3.05,47.15,42.94,5.07,1.31,0.48,agricultural lands,"4,372.12",1.01,"The Mission Aransas Copano Bay East station is a fixed near-bottom water quality station (MARCEWQ) in a Lagoon surrounded by Open Water. The station is located within a Microtidal, brackish Lagoonal Estuary  in a watershed made up of primarily agricultural lands."
MARCWWQ,Mission Aransas,MAR,CWWQ,,28.0841,97.2009,fixed near-bottom,primary,Copano Bay West,https://cdmo.baruch.sc.edu/dges/?stationCode=MARCWWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Northern Gulf of Mexico,Louisianan,34,Western Gulf Coastal Plain,34b,Southern Subhumid Gulf Coastal Prairies,Estuarine,Estuarine Coastal,Lower Water Column,Lower Polyhaline Water,brackish,Warm Water,Microtidal,Well-mixed Domain ,Diurnal Tidal Flow ,Local Estuary Exchange,Passive Continental Margin,Lagoonal Estuary ,Geologic,Lagoon,,Lagoon,,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Open Water,Open Water,Open Water,,,7354.9,108701.4,48003.5,4769.1,1617.9,442.1,805.0,4.28,63.31,27.96,2.78,0.94,0.26,0.47,4.30,63.61,28.09,2.79,0.95,0.26,agricultural lands,"2,484.56",1.45,"The Mission Aransas Copano Bay West station is a fixed near-bottom water quality station (MARCWWQ) in a Lagoon surrounded by Open Water. The station is located within a Microtidal, brackish Lagoonal Estuary  in a watershed made up of primarily agricultural lands."
